Movie Name,Movie Id,Review Content,tmdb Rating,User Rating,Genre(s),Not A Movie?,Release Date,Production Company
Winnie the Pooh: Blood and Honey,980078,"Now don't judge. You mustn't judge. If you do this will come across as the most atrocious piece of cinema since ""Mesa of Lost Women"" (1953). ""Christopher Robin"" (Nikolai Leon) is taking his fiancee back to the wood in which he played with ""Pooh"", ""Piglet"", ""Eyeore"" etc. as a child. What he doesn't appreciate, though, is that in the intervening years things got tough for his erstwhile friends. They couldn't fend for themselves, and were reduced to cannibalism to survive.... Aside from altering the balance of their tiny mids, this also instilled in ""Pooh"" and ""Piglet"" a grim and determined need for vengeance. What now ensues is hilarious. What ever budget there was must have been spent on gin for the cast: the costumes and lighting are pretty dreadful and the script - well that is almost as bad as the acting. Leon is quite easy on the eye, but the sight of him being whipped to within an inch of his life with the tail of ""Eyeore"" by a large man in an ill-fitting yellow bear suit whose mouth was oozing honey like a drooling bairn just has to be seen. Cinema can be too earnest and worthy at times, and I think this is the perfect recalibration for that - it is certainly neither, nor is it a film you will ever (want to) remember after you've seen it. Still, the cinema was packed and there was laughter a-plenty throughout the eighty minutes or so this risible drivel lasted. It could easily be a school project - nothing here is of an higher standard, and it did make me squirm at times as the 1970s ""Doctor Who"" special effects department came back to life - but I didn't hate it.",5.789,5.0,"Horror,Thriller",False,2023-01-27,Jagged Edge Productions
Avatar: The Way of Water,76600,"**Avatar: The Way of Water follows in its predecessor’s footsteps with stunning effects and a mediocre story.**  It’s a James Cameron film, so it’s impressive. The special effects, camerawork, world-building, and action were all off the charts. But Avatar: The Way of Water struggles like its predecessor in the story and character development departments. In fact, the story of The Way of Water is almost identical to the first Avatar. Instead of humans learning to be Na’vi and then fighting Stephen slang, a family of forest Na’vi learns to be ocean Na’vi and then fight Stephen Lang. But the new movie also focuses on a group of annoying teens that constantly get themselves in trouble and peril over and over again throughout the much too long 3+ hour runtime and sidelining better, more established characters. All the strengths and weaknesses of the first movie are back in this one, with the bonus of being compared to the original at every turn. It really is a visual feast and special effects masterpiece, but just like the first Avatar, that’s all it is.",7.728,6.0,"Science Fiction,Adventure,Action",False,2022-12-14,20th Century Studios
Knock at the Cabin,631842,"FULL SPOILER-FREE REVIEW @ https://www.msbreviews.com/movie-reviews/knock-at-the-cabin-review  ""Knock at the Cabin marks the triumphant comeback of M. Night Shyamalan, who possibly delivers his best film since Signs! With the help of a superb cast led by the phenomenal Dave Bautista - career-best performance - the filmmaker explores the emotional complexity found in the profound moral dilemmas placed upon human beings when faced with life-and-death decisions. Total focus on a single location with persistent cinematography (Jarin Blaschke) and immersive sound production, generating an atmosphere charged with excruciating tension. Extraordinarily gripping from start to finish. The next cult classic is born.""  Rating: A-",6.4,8.0,"Horror,Mystery,Thriller",False,2023-02-01,Blinding Edge Pictures
Black Adam,436270,"FULL SPOILER-FREE REVIEW @ https://www.msbreviews.com/movie-reviews/black-adam-spoiler-free-review  ""Black Adam is far from impressive, being somewhat disappointing due to its formulaic, predictable screenplay when something different was anticipated.  Lorne Balfe's epic score and a magnificent cast - Dwayne Johnson, Aldis Hodge, and most remarkably Pierce Brosnan are phenomenal - try to elevate the decent action and visuals, but the moderate entertainment levels don't make up for the dated narrative structure.  Tiresomely heavy exposition, story with little to no creativity, and inconsistent humor make it impossible for the DCEU to take ""the next step"" in a truly impactful manner.""  Rating: C+",7.1,5.0,"Action,Fantasy,Science Fiction",False,2022-10-19,New Line Cinema
A Man Called Otto,937278,"Fans of the BBC sitcom ""One Foot in the Grave"" might recognise something of the ""Victor Meldrew"" in Tom Hanks' portrayal of the eponymous curmudgeon. Formerly head of the community association, he takes it upon himself each morning to do his ""rounds"" - checking the gates are closed, the permits are displayed, the recycling is correct - all pretty anal, really. A combination of circumstances are about to rock his rather pedestrian world, though. He is laid off after thirty-odd years at work, a deed which renders him pretty rudderless; and he gets new neighbours - ""Marisol"" (Mariana Treviño), husband ""Tommy"" (Manuel Garcia-Ruffo) and their two daughters. Now their arrival causes him no end of irritation (and, if truth be told - for me too!). The family are pretty hapless and soon ""Otto"" finds himself helping them out and gradually, her forceful and annoying character starts to morph into something more accommodating and he begins to feel just a tad useful. Now it ought to be said that most of this story evolves against a backdrop of attempts by the older man to kill himself. There is humour to be had here, as well a rather nuanced message illustrating the effects of loneliness and a general resignation that the fruitful section of his life is finished. Gradually using ""Marisol"" and a few other neighbours as conduits, we learn of the tragedies that have led him to his current predicament, and to a position where there might just be a new light at the end of his tunnel. From a character perspective, I preferred the ""Otto"" at the start of the film. A rather bitter and amusingly sarcastic figure, but as the plot develops we lose that sharpness, the story becomes a little too cluttered and I found the initial poignancy falls away as a rather sentimental degree of melodrama edges into it all. Still, Hanks offers a strong performance and after her distinctly annoying start I found myself increasingly engaged with the whole family across the road who might just offer ""Otto"" some validation and/or salvation. It's also a remarkable understatedly inclusive film. This community has all sorts of colours, shapes and sizes - and ""Otto"" for all his faults, has no truck with discrimination. This inclusiveness is delivered to us quietly as if it is all no big deal. A more productive and subtle method than many offering the screamingly obvious box-ticking characterisations. This is a good film, not a great one, and I am not sure it needs to be seen in a cinema - but I would certainly suggest you do get round to watching it.",7.884,7.0,"Comedy,Drama",False,2022-12-28,Playtone
All Quiet on the Western Front,49046,"A fascinating film with potential that was never fully achieved. “All Quiet on the Western Front” does not rely solely on shock value to disturb its audience; instead, it uses the horrors of war to sober them with facts and dismal realities. The film's story was worth telling; it left an impression long after the credits rolled. It dealt with many weighty themes, including a young man's journey through war, the difficulties of combat, the cruelty of desperation, and the value of friendship and camaraderie, all of which were handled with grace and artistry. Furthermore, it boasted first-rate production values, breathtaking visuals, a terrific score (although maybe a tad bit over the top), and stellar acting. Although there is much to praise about the film, “All Quiet on the Western Front” is ultimately hampered by its drawn-out length, the plot dragging in spots, and several confusing moments. All the pieces were in place for “All Quiet on the Western Front” to be the best picture of the year, and in some respects, it is. Fans of the genre, or anyone who appreciates a well-made film, should not miss this film despite its limitations. ___ Rating: ***7.5/10*** *(Impressive, yet it doesn't quite hit the mark in every respect)*",7.776,7.0,"Drama,War,History",False,2022-10-07,RocketScience
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",411,"Long bloody title, but a great film no doubt.  I had seen <em>'The Chronicles of Narnia: The Lion, the Witch and the Wardrobe'</em> before but hadn't watched it for years and years, I remembered the vast majority though - it's a memorable film after all. There's a great battle scene in there, some fun characters and strong effects. It's a tad too long, but not by much.  It has a nice charm to it also, as they set up Narnia excellently. The quartet of children are very well cast, all four of them suit their roles to a T. Georgie Henley is sweet as Lucy, while William Moseley and Anna Popplewell fulfil the roles of Peter and Susan comfortably. Edmund, meanwhile, is of course annoying, but Skandar Keynes does a good job portraying him.  Elsewhere, Tilda Swinton and Liam Neeson are terrific casts as the White Witch and Aslan. Both do great, especially Swinton. James McAvoy, Ray Winstone, Michael Madsen and Rupert Everett are smart choices too.  I've, as far as I'm aware, never seen the two sequels so very much look forward to seeing what they have in store for me. They'll do well to match this first film, that's for sure.",7.12,9.0,"Adventure,Family,Fantasy",False,2005-12-07,Walt Disney Pictures
"Tad, the Lost Explorer and the Emerald Tablet",676701,"Whilst excavating a tomb in South America, would-be archaeologist ""Tad"" discovers the most unlikely of objects - an Egyptian mummy. Derided by his rather academic colleagues, he is sent back to Chicago where his apartment is full of treasures that he has been obliged to keep under wraps - one such antiquity being an enthusiastically alive Aztec mummy called, well quite aptly - ""Mummy"". When his erstwhile colleagues discover this sarcophagus and return it to America, he - armed with what he thinks is a key, and assisted by his friend ""Sara"" manages to get into the museum, open the coffin and release.... Soon all human life is at risk, and they must race to obtain the sacred emerald tablet that will fulfil the dearest wish of it's owner - for good or ill! It's derivative. Yes. Loads of ""Indiana Jones"" style scenarios with bits of Brendan Fraser's ""Mummy"" thrown in too. Indeed, the score reminded me very much of the latter series (and of a Turkish Delight ad). The characterisations are all about the usual loyalty, friendship, teamwork and determination - ideal fodder to leave the youngsters in front of. The animation is adequate, and the story moves along apace with plenty of action to keep it skipping along nicely for just short of ninety minutes. It benefits from an engaging story and though really quite forgettable, I did quite enjoy it.",7.637,6.0,"Animation,Adventure,Comedy,Family,Fantasy",False,2022-08-24,Lightbox Animation Studios
Elite Squad,7347,Decent movie with lots of strongly violent action. It stands up because it is staged in Rio and created by Brazilians.  The plot is not very surprising but good enough.,8.063,7.0,"Drama,Action,Crime",False,2007-10-12,Universal Pictures do Brasil
Elite Squad: The Enemy Within,47931,"This second part has a better plot than the previous one but, other than that, more violence without much sense.",7.825,7.0,"Drama,Action,Crime",False,2010-10-08,Feijão Filmes
